ElectDist,Shape_Leng,Shape_Area,coun_dist
"59009",1442.11343879000,128397.89085500001,"42"
"59010",9646.40509562000,1995104.57703999989,"46"
"59011",5978.08466956000,1587713.87000000011,"46"
"59012",6911.67928925000,1289123.73387999996,"46"
"59013",5127.97259795000,1177088.81288000010,"46"
"59014",4610.00696316000,1003707.30712000001,"46"
"59015",7131.92117663000,1628748.13338000001,"46"
"59016",4775.73445184000,1267586.81524999999,"46"
"59017",4997.06663434000,1415976.31089999992,"46"
"59018",7228.56197015000,1678872.60969999991,"46"
"59019",5042.04205115000,565046.14926400001,"45"
"59020",4968.69418026000,1126890.26670000004,"46"
"59021",4384.14794291000,1142594.18736000010,"46"
"59022",5414.81734957000,1558921.68452999997,"46"
"59023",5038.49937213000,834772.99802599999,"45"
"59024",5532.88855475000,1357406.11543000001,"46"
"59025",4205.76262830000,832599.03228699998,"46"
"59026",6087.42030963000,1846981.17069000006,"46"
"59027",5511.31746514000,1327729.08119999990,"46"
"59028",5512.07920617000,1585266.76062999992,"46"
"59029",7828.19111557000,2792995.19124000007,"46"
"59030",4867.48526269000,1306233.99896000000,"46"
"59031",5110.47743638000,1380416.71038000006,"46"
"59032",6917.16436588000,1553239.12925000000,"46"
"59033",5240.97111304000,1435301.34440999990,"46"
"59034",4198.80251216000,1029183.12584999995,"46"
"59035",11034.61665510000,5220977.28211000003,"46"
"59036",5758.47469629000,1638039.01508000004,"46"
"59037",5213.18780035000,1434460.84762999997,"46"
"59038",5219.56982459000,1639105.01191999996,"46"
"59039",8406.81710425000,2557519.33192999987,"46"
"59041",5227.40970891000,828227.22802899999,"46"
"59042",12543.98394630000,2049759.43036000011,"46"
"59044",7331.51920986000,1532255.75453000003,"46"
"59047",14128.98070600000,8892367.39585999958,"46"
"59048",4362.10671555000,301949.40308800002,"48"
"59049",11744.21803490000,4790790.33925000019,"46"
"59051",6501.62629160000,2219360.57163000014,"46"
"59052",12889.01145560000,3890598.38213999989,"46"
"59053",8802.36412366000,3846785.32452999987,"46"
"59054",13859.78277830000,2999890.64270000020,"46"
"59055",7228.81135914000,1852370.21916000010,"46"
"59056",9451.15595655000,3049293.97984999977,"46"
"59057",6596.34618432000,2243058.18299000012,"46"
"59058",6317.75740542000,2323191.30559000000,"46"
"59059",11056.62558660000,2186255.74004000006,"46"
"59060",10045.27015160000,2724676.77657999983,"46"
"59061",9704.22223342000,2740438.03764999984,"46"
"59062",25002.20352920000,12461945.58550000191,"46"
"59063",4578.02372156000,803044.43121099996,"46"
"59064",8867.89610426000,2376535.61359000020,"46"
"59065",4729.94528283000,828226.49673799996,"46"
"59066",4725.63211418000,833648.96680900001,"46"
"59067",5868.46627132000,1864971.00279000006,"46"
"59068",4858.52050764000,1356105.20490000001,"46"
"59069",5056.82249141000,1106955.51927999989,"46"
"59070",5219.97105950000,1232283.10807000007,"46"
"59071",4689.71662026000,822481.11235800001,"46"
"59072",6340.75625675000,2052327.68812000006,"46"
"59073",5052.78770329000,1010952.48641999997,"46"
"59074",4781.74847756000,1277230.97542000003,"46"
"59075",5565.55665120000,1675492.68050000002,"46"
"59076",4739.66636495000,1045283.48533000005,"46"
"59077",3346.52432624000,689641.27081999998,"46"
"59078",3132.30683849000,612404.07047499996,"46"
"59079",3847.44475818000,591282.63243200001,"46"
"59080",4870.74321723000,1097615.25252000010,"46"
"59081",5517.36033098000,1185776.23259999999,"46"
"59082",5273.30055231000,1019317.34621999995,"46"
"59083",6731.08827055000,1790828.59456000011,"46"
"59084",4715.33157739000,818707.82168699999,"46"
"59085",4220.80941236000,874832.12824300001,"46"
"59086",5690.96748230000,1748184.30755000003,"45"
"59087",2154.23615457000,197551.43388200001,"46"
"59089",136901.82939999999,39754276.89389999956,"42"
"60001",4696.88484646000,1053503.78600999992,"42"
"60002",5330.03118461000,976589.84197299997,"42"
"60003",5776.08994559000,1068603.11960999994,"42"
"60004",4351.63144557000,994330.67242700001,"42"
"60005",3809.34388934000,907825.03538300004,"42"
"60006",3093.49215643000,528775.75780899997,"42"
"60007",4810.28384509000,1008921.87089999998,"42"
"60008",4162.77419477000,799128.25382600003,"42"
"60009",4453.59880266000,971376.63187100005,"42"
"60010",4049.66979729000,609083.02379899996,"42"
"60011",1460.20062156000,122308.07224100000,"37"
"60012",3112.74823162000,539018.16563499998,"42"
"60013",4463.59398081000,841027.37894700002,"42"
"60014",4772.87894555000,1124453.64476999990,"42"
"60015",5566.80584232000,1207107.96478000004,"42"
"60016",3020.20445178000,486280.25716799998,"42"
"60017",4120.36903550000,946864.02853400004,"42"
"60018",2976.85654515000,441980.92658400000,"42"
"60019",3731.80188641000,610266.13071699999,"42"
"60020",1887.54282358000,222663.21142300000,"42"
"60021",3775.68281231000,547218.50495500001,"42"
"60022",4118.22836444000,1020886.25612000003,"42"
"60023",4318.36065681000,782216.48639199999,"37"
"60024",6865.74529945000,1809192.03931999998,"42"
"60025",2220.79217755000,297647.13413199998,"42"
"60026",2722.72747229000,395028.71330599999,"42"
"60027",2863.23749513000,493135.91357799998,"42"
"60028",3023.42470975000,398111.36337099998,"42"
"60029",3852.51694118000,897373.50602900004,"42"
"60030",5011.71502302000,1001214.13849000004,"42"
"60031",3343.62487794000,681689.21597500006,"42"
"60032",4771.06765253000,1197141.95204999996,"42"
"60033",4740.30830986000,1248277.47848999989,"42"
"60034",4624.18759540000,1043891.75256000005,"42"
"60035",3834.63185570000,726996.94184700004,"42"
"60036",4247.41269923000,858659.01991699997,"42"
"60037",4503.01793412000,776459.71096199995,"42"
"60038",6448.78552261000,783428.07893099997,"42"
"60039",3866.53803168000,608433.08522000001,"42"
"60040",3329.76945970000,595562.20081299997,"42"
"60041",4831.91068119000,1004501.96927999996,"42"
"60042",7153.24339315000,1160764.18371000001,"42"
"60043",4776.11285832000,982384.67146999994,"42"
"60044",5590.13038765000,988616.10456799995,"42"
"60045",4413.61485565000,1060255.88036999991,"42"
"60046",4398.54809907000,1052201.68399000005,"42"
"60047",5021.60999002000,906498.30423799995,"42"
"60048",2301.51755153000,328851.81431699998,"42"
"60049",3356.51880059000,656208.08192699996,"42"
"60050",5920.14099497000,1270500.22555999993,"42"
"60051",5737.16670731000,1538875.50965999998,"42"
"60052",5396.36505999000,1024000.98999999999,"42"
"60053",4321.64886142000,1080968.83924999996,"42"
"60054",4368.23078078000,840213.82866999996,"42"
"60055",4350.30605319000,1020293.04400999995,"42"
"60056",4860.65549899000,1175780.90589999990,"42"
"60057",3209.15071230000,585176.03420100000,"42"
"60058",3306.80974989000,639058.05355399998,"42"
"60059",8714.28020424000,1869064.72524000006,"42"
"60060",3401.49707763000,607617.55800099997,"42"
"60061",11405.50890440000,5657453.19587999955,"42"
"60062",3917.38393411000,914991.66613100003,"42"
